gene_family,signed_importance,importance,direction,effect_size,p_value,presence_rate,n_genomes_with_feature,diaz_rate_present,diaz_rate_absent,target,acc,pident,evalue,GeneName,ProteinName,EC,GO
GF_01964,0.0781192796191303,0.0781192796191303,Positive,0.6266706622715014,6.485010460257628e-32,0.20935412026726058,94,0.7872340425531915,0.1605633802816901,P0A992,P0A992,68.1,8.1e-150,alf1,ALF1_ECOL6,,GO:0004332;GO:0005737;GO:0006096
GF_00066,0.0773399600668289,0.0773399600668289,Positive,0.5724456773000463,1.7032991583039792e-34,0.311804008908686,140,0.6857142857142857,0.1132686084142394,P12405,P12405,85.7,1.628e-293,atpa,ATPA_NOSS1,,GO:0005524;GO:0031676;GO:0043531;GO:0045259;GO:0046933
GF_01600,0.0737603559094921,0.0737603559094921,Positive,0.1259836782279219,0.0427399140572389,0.16258351893095768,73,0.3972602739726027,0.2712765957446808,P55438,P55438,39.1,0.0004225,y4eo,Y4EO_SINFN,,
GF_00624,0.0707499552358933,0.0707499552358933,Positive,0.2634313601750179,4.739717626566366e-09,0.6191536748329621,278,0.3920863309352518,0.1286549707602339,B0C2J4,B0C2J4,87.6,1.4880000000000001e-30,rl33,RL33_ACAM1,,GO:0003735;GO:0005737;GO:0005840;GO:0006412;GO:1990904
GF_00333,0.0678514127907659,0.0678514127907659,Positive,0.4592682433798261,8.617331324506654e-26,0.5679287305122495,255,0.4901960784313725,0.0309278350515463,O48917,O48917,74.2,1.824e-185,sqd1,SQD1_ARATH,,GO:0005886;GO:0008146;GO:0008270;GO:0009247;GO:0009507;GO:0016036;GO:0046507
GF_01712,0.0676317580226831,0.0676317580226831,Positive,0.0815399330463892,0.3603628551036125,0.09131403118040089,41,0.3658536585365853,0.284313725490196,P73954,P73954,65.5,9.328e-38,y1513,Y1513_SYNY3,,GO:0006808;GO:0030234;GO:0031676
GF_02166,0.0645587689429175,0.0645587689429175,Positive,0.7732269503546099,1.841559412788546e-56,0.267260579064588,120,0.8583333333333333,0.0851063829787234,Q4UJM1,Q4UJM1,46.7,1.947e-148,sdha,SDHA_RICFE,,GO:0005886;GO:0006099;GO:0008177;GO:0009055;GO:0022900;GO:0050660
GF_00099,0.0631763904150658,0.0631763904150658,Positive,0.2681122448979592,0.0001911650759137,0.1091314031180401,49,0.5306122448979592,0.2625,O29190,O29190,49.1,1.912e-06,y1072,Y1072_ARCFU,,
GF_00656,0.0625720489725686,0.0625720489725686,Positive,0.3807251908396947,1.1522337926246724e-08,0.12472160356347439,56,0.625,0.2442748091603053,P55438,P55438,43.8,0.0001043,y4eo,Y4EO_SINFN,,
GF_01818,0.0622590124631438,0.0622590124631438,Positive,0.1767084696474009,0.0103332145530171,0.12472160356347439,56,0.4464285714285714,0.2697201017811705,P0A5M3,P0A5M3,41.5,2.797e-51,nusa,NUSA_MYCBO,,GO:0003700;GO:0003723;GO:0005829;GO:0006353;GO:0031564
GF_01672,0.0614989123222405,0.0614989123222405,Positive,0.4122383252818036,4.044743334093179e-13,0.18040089086859687,81,0.6296296296296297,0.217391304347826,Q05069,Q05069,81.9,3.911e-138,fabi,FABI_NOSS1,,GO:0004318;GO:0030497;GO:0042802
GF_01960,0.060398330313344,0.060398330313344,Positive,0.4236381909547738,2.8587205600919336e-22,0.44320712694877507,199,0.5276381909547738,0.104,B1WR94,B1WR94,82.3,8.704e-61,rl19,RL19_CROS5,,GO:0003735;GO:0006412;GO:0022625
GF_00542,0.0602051706602956,0.0602051706602956,Positive,0.5198268398268399,3.3876680934961095e-23,0.22048997772828507,99,0.696969696969697,0.1771428571428571,Q6ZEA5,Q6ZEA5,50.2,2.955e-16,cas2c,CAS2C_SYNY3,,GO:0004521;GO:0043571;GO:0046872;GO:0051607
GF_02217,0.0596640945526356,0.0596640945526356,Positive,0.475119376727821,1.3802131758387936e-26,0.38530066815144765,173,0.5838150289017341,0.108695652173913,Q31S42,Q31S42,87.7,3.33e-140,rpaa,RPAA_SYNE7,,GO:0000156;GO:0000976;GO:0005829;GO:0006355;GO:0007623;GO:0032993;GO:0051301;GO:0097167
GF_00393,0.0595621941596445,0.0595621941596445,Positive,0.1184486373165618,0.1050960910050807,0.11804008908685969,53,0.3962264150943396,0.2777777777777778,B7K5N3,B7K5N3,84.7,1.843e-38,rl28,RL28_RIPO1,,GO:0003735;GO:0005840;GO:0006412;GO:1990904
GF_01663,0.058965097522761,0.058965097522761,Positive,0.1077551020408162,0.1616051775750473,0.1091314031180401,49,0.3877551020408163,0.28,O78518,O78518,69.9,2.76e-253,ilvb,ILVB_GUITH,,GO:0000287;GO:0003984;GO:0005948;GO:0009097;GO:0009099;GO:0009507;GO:0030976;GO:0050660
GF_02514,0.0586486506309456,0.0586486506309456,Positive,0.0495137046861184,0.4805353917350223,0.1603563474387528,72,0.3333333333333333,0.2838196286472148,P00238,P00238,83.7,5.726e-47,fer,FER_SCEQU,,GO:0009055;GO:0009507;GO:0022900;GO:0046872;GO:0051537
GF_01146,0.0585627026091461,0.0585627026091461,Positive,0.1623716488872907,0.0002450423319716,0.5412026726057907,243,0.3662551440329218,0.203883495145631,Q7RYW6,Q7RYW6,60.9,1.199e-118,cysk,CYSK_NEUCR,,GO:0004124;GO:0005737;GO:0005739;GO:0006535;GO:0141223
GF_00454,0.0585297417173448,0.0585297417173448,Positive,0.5080246913580246,6.6003418324671076e-12,0.09799554565701558,44,0.75,0.2419753086419753,,,,,,,,
GF_00506,0.0579078917148328,0.0579078917148328,Positive,0.2331670822942643,0.0014206773498869,0.10690423162583519,48,0.5,0.2668329177057356,,,,,,,,
GF_00402,0.0569747825958153,0.0569747825958153,Positive,0.4987831152250239,1.48622760781353e-30,0.5367483296213809,241,0.5228215767634855,0.0240384615384615,Q55624,Q55624,82.6,7.389e-105,y755,Y755_SYNY3,,GO:0005737;GO:0008379;GO:0034599;GO:0045454
GF_00355,0.0563848321910136,0.0563848321910136,Positive,0.1462713936430317,0.0783878322169482,0.08908685968819599,40,0.425,0.2787286063569682,B1WQB7,B1WQB7,97.0,3.717e-95,ndk,NDK_CROS5,,GO:0004550;GO:0005524;GO:0005737;GO:0006183;GO:0006228;GO:0006241;GO:0046872
GF_02373,0.0562103314341371,0.0562103314341371,Positive,0.6052972972972972,5.246094951390823e-25,0.16481069042316257,74,0.7972972972972973,0.192,,,,,,,,
GF_00658,0.0559604025916638,0.0559604025916638,Positive,0.4651741293532338,1.2908082169649982e-26,0.5523385300668151,248,0.5,0.0348258706467661,B1WQR5,B1WQR5,82.4,2.9369999999999997e-60,rl22,RL22_CROS5,,GO:0003735;GO:0006412;GO:0019843;GO:0022625
GF_00630,0.0553555810624789,0.0553555810624789,Positive,0.4090619307832422,1.5106925599784193e-18,0.6792873051224945,305,0.4229508196721311,0.0138888888888888,B0CCD0,B0CCD0,88.9,8.445000000000001e-246,eftu,EFTU_ACAM1,,GO:0003746;GO:0003924;GO:0005525;GO:0005829
GF_01087,0.0550395416530402,0.0550395416530402,Positive,0.2595972579263068,7.344093596139357e-05,0.133630289532294,60,0.5166666666666667,0.2570694087403599,P55438,P55438,38.5,0.0001376,y4eo,Y4EO_SINFN,,
GF_02205,0.0549329738934628,0.0549329738934628,Positive,0.5149791156560565,3.517121545014674e-27,0.29175946547884185,131,0.6564885496183206,0.1415094339622641,P50676,P50676,84.7,1.497e-311,cox1,COX1_THEVL,,GO:0004129;GO:0005886;GO:0006119;GO:0015990;GO:0020037;GO:0022904;GO:0046872
GF_01906,0.0546870418290209,0.0546870418290209,Positive,0.5229145728643216,3.372672313356188e-33,0.44320712694877507,199,0.5829145728643216,0.06,Q7NHG7,Q7NHG7,78.5,2.2690000000000003e-246,atpb,ATPB_GLOVI,,GO:0005524;GO:0005886;GO:0016887;GO:0045259;GO:0046933
GF_00397,0.0532631126297519,0.0532631126297519,Positive,0.7504812563323202,2.862053922587681e-53,0.267260579064588,120,0.8416666666666667,0.0911854103343465,B1XIE7,B1XIE7,85.5,3.42e-81,ndk,NDK_PICP2,,GO:0004550;GO:0005524;GO:0005737;GO:0006183;GO:0006228;GO:0006241;GO:0046872
GF_00608,0.0526619121492888,0.0526619121492888,Positive,0.3502172323310535,1.0603834907038847e-14,0.6391982182628062,287,0.4181184668989547,0.0679012345679012,B0JVB1,B0JVB1,91.0,1.535e-176,chll,CHLL_MICAN,,GO:0005524;GO:0016636;GO:0016730;GO:0019685;GO:0036068;GO:0046872;GO:0051539
GF_00146,0.0524380740411993,0.0524380740411993,Positive,0.1083811573409851,0.2022791214549179,0.09131403118040089,41,0.3902439024390244,0.2818627450980392,Q3M9K9,Q3M9K9,80.0,1.838e-195,nu1c,NU1C_TRIV2,,GO:0003954;GO:0009060;GO:0016655;GO:0019684;GO:0031676;GO:0048038
GF_00377,0.052158990097426,0.052158990097426,Positive,0.6710617283950617,5.931515604655772e-44,0.27839643652561247,125,0.776,0.1049382716049382,P9WLR4,P9WLR4,41.5,2.06e-29,y1829,Y1829_MYCTO,,GO:0004518
GF_00866,0.0521097655792568,0.0521097655792568,Positive,0.1259836782279219,0.0427399140572389,0.16258351893095768,73,0.3972602739726027,0.2712765957446808,Q03460,Q03460,66.0,4.93e-202,glsn,GLSN_MEDSA,,GO:0005506;GO:0009501;GO:0010181;GO:0016040;GO:0016639;GO:0050660;GO:0051538;GO:0097054
GF_02136,0.0521067234679591,0.0521067234679591,Positive,0.6636413641364136,7.730574522146232e-20,0.10022271714922049,45,0.8888888888888888,0.2252475247524752,P31640,P31640,33.3,1.033e-96,y2524,Y2524_CUPNH,,GO:0005886;GO:0006814;GO:0015293
GF_02460,0.0519680217925402,0.0519680217925402,Positive,0.1659983961507618,0.035670338314561,0.0957683741648107,43,0.4418604651162791,0.2758620689655172,,,,,,,,
GF_01102,0.0516486175289769,0.0516486175289769,Positive,0.4167591308368008,6.271970032939698e-19,0.311804008908686,140,0.5785714285714286,0.1618122977346278,Q3MFB2,Q3MFB2,88.0,2.432e-42,rs17,RS17_TRIV2,,GO:0003735;GO:0006412;GO:0019843;GO:0022627
GF_01201,0.0513709981527603,0.0513709981527603,Positive,0.3521915584415584,2.257542700585337e-08,0.14253897550111358,64,0.59375,0.2415584415584415,P55573,P55573,20.9,3.806e-14,y4mn,Y4MN_SINFN,,
GF_00403,0.050831654607168,0.050831654607168,Positive,0.6246956705832539,2.228370078380839e-18,0.10467706013363029,47,0.851063829787234,0.2263681592039801,Q9I5W9,Q9I5W9,75.7,2.458e-19,y567,Y567_PSEAE,,GO:0005886
GF_01507,0.0506167943750057,0.0506167943750057,Positive,0.7401154401154402,1.2586784898009637e-45,0.22048997772828507,99,0.8686868686868687,0.1285714285714285,P21577,P21577,76.3,7.605e-236,6pgd,6PGD_SYNE7,,GO:0004616;GO:0006098;GO:0016054;GO:0019521;GO:0050661
GF_00209,0.0504933408089242,0.0504933408089242,Positive,0.6156118143459917,4.532645525355024e-20,0.12026726057906459,54,0.8333333333333334,0.2177215189873417,Q3MAQ7,Q3MAQ7,83.7,0.0,syp,SYP_TRIV2,,GO:0002161;GO:0004827;GO:0005524;GO:0005829;GO:0006433
GF_00825,0.0498011793305493,0.0498011793305493,Positive,0.6367527862208713,9.692437723532112e-39,0.267260579064588,120,0.7583333333333333,0.121580547112462,,,,,,,,
GF_01647,0.0494955159151158,0.0494955159151158,Positive,0.2157460545193687,0.0065930377299743,0.09131403118040089,41,0.4878048780487805,0.2720588235294117,Q46560,Q46560,55.0,9.246e-24,vapi,VAPI_DICNO,,GO:0003677
GF_00861,0.0494819034379067,0.0494819034379067,Positive,0.5796485669019156,4.58311107860478e-34,0.29175946547884185,131,0.7022900763358778,0.1226415094339622,P77966,P77966,46.8,5.266e-295,gyrb,GYRB_SYNY3,,GO:0003677;GO:0005524;GO:0005694;GO:0005737;GO:0006265;GO:0016539;GO:0034335;GO:0046872
GF_00392,0.0492529523347105,0.0492529523347105,Positive,0.416395201017003,8.333540952611517e-22,0.48329621380846327,217,0.5069124423963134,0.0905172413793103,B7K906,B7K906,93.3,2.63e-66,ure3,URE3_GLOC7,,GO:0005737;GO:0009039;GO:0016151;GO:0043419
GF_02107,0.0488801461247092,0.0488801461247092,Positive,0.3697033898305085,9.1403313800271e-17,0.6057906458797327,272,0.4375,0.0677966101694915,Q5JDJ7,Q5JDJ7,36.5,9.111e-92,be,BE_THEKO,,GO:0000166;GO:0003844;GO:0030979
GF_00186,0.0488278151567127,0.0488278151567127,Positive,0.4596756756756757,5.723293392544317e-15,0.16481069042316257,74,0.6756756756756757,0.216,B8HV20,B8HV20,83.2,7.088e-99,efp,EFP_CYAP4,,GO:0003746;GO:0005737;GO:0043043
GF_01333,0.0483245085935378,0.0483245085935378,Positive,0.1784567257559958,7.797946317747762e-05,0.6102449888641426,274,0.3613138686131387,0.1828571428571428,P51336,P51336,71.2,1.946e-26,ycxi,YCXI_PORPU,,GO:0009507;GO:0046872;GO:0051538;GO:0051539
GF_00108,0.0477034909767304,0.0477034909767304,Positive,0.5412647374062165,9.439872886139688e-31,0.30734966592427615,138,0.6666666666666666,0.1254019292604501,P53579,P53579,82.8,4.811e-136,map11,MAP11_SYNY3,,GO:0004239;GO:0005829;GO:0006508;GO:0046872;GO:0070006
GF_02131,0.0463393651853371,0.0463393651853371,Positive,0.6484744469870327,5.4641028095838746e-27,0.15367483296213807,69,0.8405797101449275,0.1921052631578947,P47734,P47734,72.4,5.29e-182,fadh,FADH_METMR,,GO:0004022;GO:0008270;GO:0080007;GO:0106321;GO:0106322
GF_01500,0.046168115631881,0.046168115631881,Positive,0.761854103343465,7.461655468689974e-55,0.267260579064588,120,0.85,0.0881458966565349,Q1XDQ8,Q1XDQ8,57.5,2.798e-18,ycf34,YCF34_PYRYE,,GO:0009507
GF_01232,0.0457490680010456,0.0457490680010456,Positive,0.375404792746114,1.1461736866507073e-17,0.5701559020044543,256,0.453125,0.077720207253886,Q17CA7,Q17CA7,45.6,5.033e-97,mocs3,MOCS3_AEDAE,,GO:0002143;GO:0004792;GO:0005524;GO:0005829;GO:0006777;GO:0032447;GO:0042292;GO:0046872;GO:0061604;GO:0061605
GF_02361,0.0457147761687227,0.0457147761687227,Positive,0.3642893358120669,1.4543020293333731e-08,0.1358574610244989,61,0.6065573770491803,0.2422680412371134,,,,,,,,
GF_00601,0.0453744136065213,0.0453744136065213,Positive,0.5080246913580246,6.6003418324671076e-12,0.09799554565701558,44,0.75,0.2419753086419753,Q8YQ35,Q8YQ35,83.8,7.310999999999999e-188,isia,ISIA_NOSS1,,GO:0009522;GO:0009767;GO:0016168;GO:0031676
GF_00686,0.0453548072359321,0.0453548072359321,Positive,0.7683545797922569,5.2053303648324357e-48,0.21380846325167038,96,0.8958333333333334,0.1274787535410765,A0R2D4,A0R2D4,39.0,1.2e-26,sige,SIGE_MYCS2,,GO:0003677;GO:0006352;GO:0016987
GF_02145,0.0452711230583461,0.0452711230583461,Positive,0.1259836782279219,0.0427399140572389,0.16258351893095768,73,0.3972602739726027,0.2712765957446808,Q3MFA5,Q3MFA5,86.1,7.841e-97,rs5,RS5_TRIV2,,GO:0003735;GO:0006412;GO:0015935;GO:0019843
GF_02522,0.0450045972830163,0.0450045972830163,Positive,0.5878926038500507,1.925422488591677e-36,0.31403118040089084,141,0.6950354609929078,0.1071428571428571,B7K4V4,B7K4V4,85.7,2.332e-62,rl20,RL20_RIPO1,,GO:0000027;GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:1990904
GF_01925,0.0448755613954584,0.0448755613954584,Positive,0.323112128146453,1.237556778467377e-07,0.15367483296213807,69,0.5652173913043478,0.2421052631578947,,,,,,,,
GF_00808,0.0444242905793821,0.0444242905793821,Positive,0.5137971794244722,1.124427593172555e-31,0.41870824053452116,188,0.5904255319148937,0.0766283524904214,Q2JQC0,Q2JQC0,85.2,2.702e-39,y2696,Y2696_SYNJA,,
GF_01510,0.0442901448079604,0.0442901448079604,Positive,0.5135515873015873,1.786025308276811e-32,0.49888641425389757,224,0.5491071428571429,0.0355555555555555,P05514,P05514,75.7,7.161e-39,dbh,DBH_NOSS1,,GO:0003677;GO:0005829;GO:0030261;GO:0030527;GO:0043158
GF_00670,0.0441475895322102,0.0441475895322102,Positive,0.7362928077213791,7.536247681244248e-45,0.2182628062360802,98,0.8673469387755102,0.131054131054131,Q3M4P1,Q3M4P1,82.5,1.1620000000000002e-25,rs212,RS212_TRIV2,,GO:0003735;GO:0005840;GO:0006412;GO:1990904
GF_00606,0.0440949926670112,0.0440949926670112,Positive,0.0979322638146167,0.1179005002179224,0.16703786191536749,75,0.3733333333333333,0.2754010695187165,P55037,P55037,79.5,0.0,gltb,GLTB_SYNY3,,GO:0006537;GO:0015930;GO:0016041;GO:0019676;GO:0046872;GO:0051538;GO:0097054
GF_02212,0.0439855207971235,0.0439855207971235,Positive,0.5518699492576584,1.1600726100547438e-31,0.3028953229398664,136,0.6764705882352942,0.1246006389776357,P74511,P74511,79.5,2.568e-104,y1949,Y1949_SYNY3,,GO:0031676
GF_00691,0.0438237587550928,0.0438237587550928,Positive,0.3767934002869441,1.0651850458313089e-06,0.09131403118040089,41,0.6341463414634146,0.2573529411764705,P73867,P73867,76.2,0.0,kdpb,KDPB_SYNY3,,GO:0000287;GO:0005524;GO:0005886;GO:0008556;GO:0016887;GO:0031004;GO:0071805;GO:1903103
GF_02167,0.0435334335670838,0.0435334335670838,Positive,0.6888768752534126,1.3780783608155012e-50,0.3273942093541203,147,0.7551020408163265,0.0662251655629139,B8CX89,B8CX89,56.4,1.0810000000000001e-128,dapat,DAPAT_HALOH,,GO:0010285;GO:0030170;GO:0033362
GF_02178,0.0435018045686088,0.0435018045686088,Positive,0.5866323907455013,5.59489898466392e-20,0.133630289532294,60,0.8,0.2133676092544987,,,,,,,,
GF_02395,0.0434089696737927,0.0434089696737927,Positive,0.5666216934461752,4.1992607661537926e-38,0.4142538975501114,186,0.6236559139784946,0.0570342205323193,P58571,P58571,82.0,3.321e-185,chli,CHLI_NOSS1,,GO:0005524;GO:0015979;GO:0015995;GO:0016851;GO:0016887
GF_00294,0.0426710838229241,0.0426710838229241,Positive,0.2077894055453663,0.0056751007403374,0.10244988864142539,46,0.4782608695652174,0.2704714640198511,P74811,P74811,41.6,2.674e-10,y1255,Y1255_SYNY3,,
GF_00665,0.0425881934603951,0.0425881934603951,Positive,0.4440677966101695,2.5505432400368197e-22,0.6570155902004454,295,0.4440677966101695,0.0,Q110H1,Q110H1,85.3,0.0,rpob,RPOB_TRIEI,,GO:0000428;GO:0003677;GO:0003899;GO:0006351;GO:0032549
GF_02332,0.0424567989472597,0.0424567989472597,Positive,0.2958177415804535,1.2221741271170012e-10,0.6570155902004454,295,0.3932203389830508,0.0974025974025974,Q0IDF4,Q0IDF4,85.5,1.4890000000000002e-20,psbk,PSBK_SYNS3,,GO:0009539;GO:0015979;GO:0031676
GF_00900,0.0422529254426163,0.0422529254426163,Positive,0.6881873565946672,3.5318451512522684e-29,0.14699331848552338,66,0.8787878787878788,0.1906005221932115,P58559,P58559,85.9,4.333e-193,g3p3,G3P3_NOSS1,,GO:0004365;GO:0005737;GO:0006094;GO:0006096;GO:0050661;GO:0051287
GF_00638,0.0421992672765275,0.0421992672765275,Positive,0.3023018648018648,1.260512166191093e-11,0.6080178173719376,273,0.4102564102564102,0.1079545454545454,P51327,P51327,77.2,1.656e-320,ftsh,FTSH_PORPU,,GO:0004176;GO:0004222;GO:0005524;GO:0006508;GO:0008270;GO:0009535;GO:0016887;GO:0030163
GF_00881,0.0420630514438534,0.0420630514438534,Positive,0.5332210998877666,5.38370014493099e-13,0.09799554565701558,44,0.7727272727272727,0.2395061728395061,Q46BK8,Q46BK8,25.8,3.148e-29,ahbc,AHBC_METBF,,GO:0006783;GO:0016829;GO:0046872;GO:0051539
GF_00657,0.0418302428807835,0.0418302428807835,Positive,0.6318681318681318,2.16658244742823e-33,0.2182628062360802,98,0.7857142857142857,0.1538461538461538,P45769,P45769,71.5,3.154e-107,yhdz,YHDZ_ECOLI,,GO:0005524;GO:0015424;GO:0015833;GO:0016020;GO:0016887;GO:0043190;GO:0055052
GF_00746,0.0417623414939535,0.0417623414939535,Positive,0.4020647210641254,1.9627798135802183e-20,0.48775055679287305,219,0.4977168949771689,0.0956521739130434,Q9L3Q0,Q9L3Q0,94.2,4.862e-99,petd,PETD_TRIV2,,GO:0009767;GO:0016491;GO:0031676;GO:0045156;GO:0045158
GF_00000,0.0416430114273835,0.0416430114273835,Positive,0.0375095492742551,0.5130591123910768,0.2650334075723831,119,0.3193277310924369,0.2818181818181818,P72955,P72955,81.1,1.509e-100,ureg,UREG_SYNY3,,GO:0003924;GO:0005525;GO:0005737;GO:0016151;GO:0043419
GF_00982,0.0414845409931535,0.0414845409931535,Positive,0.3711987936667504,9.235025736441543e-17,0.6146993318485523,276,0.4347826086956521,0.0635838150289017,P74646,P74646,85.4,6.604e-292,kaic1,KAIC1_SYNY3,,GO:0000287;GO:0003677;GO:0004674;GO:0004712;GO:0005524;GO:0006355;GO:0007623;GO:0016301;GO:0016887;GO:0042752;GO:0046777;GO:0106310
GF_02412,0.0412938348107424,0.0412938348107424,Positive,0.4105850607138476,1.1369048951405351e-20,0.4142538975501114,186,0.532258064516129,0.1216730038022813,Q8YYG7,Q8YYG7,87.9,6.268e-16,psbm,PSBM_NOSS1,,GO:0009523;GO:0019684;GO:0031676
GF_00330,0.0407380316680948,0.0407380316680948,Positive,0.4477671451355662,6.535585574655137e-25,0.46547884187082406,209,0.5311004784688995,0.0833333333333333,P0A9X5,P0A9X5,59.5,5.193000000000001e-116,mreb,MREB_ECOL6,,GO:0000902;GO:0005524;GO:0005737;GO:0008360
GF_01667,0.0404436321368728,0.0404436321368728,Positive,0.6583546462063086,1.516993770556291e-34,0.20489977728285078,92,0.8152173913043478,0.1568627450980392,Q97FE0,Q97FE0,39.3,1.358e-39,mcat,MCAT_CLOAB,,GO:0004096;GO:0046872
GF_00120,0.0403826401146072,0.0403826401146072,Positive,0.766031746031746,8.844783038884571e-49,0.22048997772828507,99,0.8888888888888888,0.1228571428571428,P73574,P73574,72.8,1.661e-112,fabg,FABG_SYNY3,,GO:0004316;GO:0016616;GO:0030497;GO:0051287
GF_00625,0.0399761141950687,0.0399761141950687,Positive,0.458041958041958,3.0108507507179603e-24,0.6369710467706013,286,0.458041958041958,0.0,Q8YPJ9,Q8YPJ9,92.1,1.9459999999999998e-40,if1,IF1_NOSS1,,GO:0003743;GO:0005829;GO:0019843;GO:0043022
GF_02209,0.0397062684837432,0.0397062684837432,Positive,0.5838062340653014,1.3761130663590074e-20,0.1403118040089087,63,0.7936507936507936,0.2098445595854922,P46850,P46850,51.8,9.015000000000001e-122,rtcb,RTCB_ECOLI,,GO:0003909;GO:0005525;GO:0006281;GO:0006396;GO:0006974;GO:0030145;GO:0042245;GO:0170057
GF_01969,0.039512179536279,0.039512179536279,Positive,0.3316083974925322,1.3690574836809108e-13,0.38084632516703787,171,0.4970760233918128,0.1654676258992805,B7K2B2,B7K2B2,83.9,2.726e-106,recr,RECR_RIPO1,,GO:0003677;GO:0006281;GO:0006310;GO:0008270
GF_00629,0.0393418374126837,0.0393418374126837,Positive,0.6487976406533575,1.010538900278258e-44,0.32293986636971045,145,0.7310344827586207,0.0822368421052631,P45607,P45607,47.3,1.2420000000000002e-25,phob,PHOB_SHIFL,,GO:0000156;GO:0000976;GO:0005829;GO:0006355;GO:0006817;GO:0032993
GF_00902,0.0387110036729943,0.0387110036729943,Positive,0.3731452455590386,5.883525170434614e-17,0.6124721603563474,275,0.4363636363636363,0.0632183908045977,P80507,P80507,89.3,2.521e-96,ipyr,IPYR_SYNY3,,GO:0000287;GO:0004427;GO:0005737;GO:0006796
GF_00930,0.0384691723361133,0.0384691723361133,Positive,0.7650611819838584,7.827703600176811e-54,0.2561247216035635,115,0.8608695652173913,0.0958083832335329,P0DXU7,P0DXU7,43.6,1.2710000000000002e-69,drra3,DRRA3_STRC4,,GO:0005524;GO:0005886;GO:0016887;GO:0043215;GO:0046677;GO:1900753
GF_01932,0.0381975149948032,0.0381975149948032,Positive,0.3506807559439138,1.570949380931446e-15,0.576837416481069,259,0.4401544401544401,0.0894736842105263,Q7NCU0,Q7NCU0,69.5,3.287e-263,syt,SYT_GLOVI,,GO:0000049;GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0046872
GF_01128,0.0381871915541361,0.0381871915541361,Positive,0.7418555240793201,7.549143726866074e-45,0.21380846325167038,96,0.875,0.1331444759206798,P33035,P33035,93.2,7.394e-306,gln1b,GLN1B_MICDP,,GO:0004356;GO:0005524;GO:0005737;GO:0006542;GO:0016020;GO:0019740;GO:0046872
