assembly_accession,nifH_present,nifH_best_evalue,nifH_best_ref,nifD_present,nifD_best_evalue,nifD_best_ref,nifK_present,nifK_best_evalue,nifK_best_ref,best_hit_ids,download_ok,nifHDK_core_call,organism_name,assembly_level,number_of_contigs,contig_n50,number_of_scaffolds,scaffold_n50,total_ungapped_length,gc_percent,coverage,annotation_name,annotation_date,checkm_completeness,checkm_contamination,genome_notes,derived_from_metagenome,annotation_fails_MAG_check,checkm_version,checkm_source
GCF_000759975.1,1,3.90E-53,nifH-local_aln_i2.1_12182023,1,6.60E-10,nifD-local_aln_i2.1_12182023,1,5.50E-07,nifK-local_aln_i2.1_12182023,H=WP_002805445.1;D=WP_032526846.1;K=WP_032526846.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9302'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9302', 'tax_id': 74545}",Contig,17,242124,17,242124,1745343,31,200,GCF_000759975.1-RS_2025_08_15,,100,0.05,,0,0,v1.2.4,structured
GCF_047947085.1,1,3.90E-53,nifH-local_aln_i2.1_12182023,1,6.60E-10,nifD-local_aln_i2.1_12182023,1,5.50E-07,nifK-local_aln_i2.1_12182023,H=WP_002805445.1;D=WP_032526846.1;K=WP_032526846.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9302'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9302', 'tax_id': 74545}",Complete Genome,1,1743611,1,1743611,1743611,31,1,GCF_047947085.1-RS_2025_02_25,,100,,,0,0,v1.2.3,structured
GCF_034932045.1,1,2.10E-154,nifH-local_aln_i2.1_12182023,1,1.00E-256,nifD-local_aln_i2.1_12182023,1,9.40E-243,nifK-local_aln_i2.1_12182023,H=WP_323217561.1;D=WP_323315604.1;K=WP_323315605.1,1,1,"{'infraspecific_names': {'strain': 'Tam1'}, 'organism_name': 'Limnoraphis robusta Tam1', 'tax_id': 3110304}",Scaffold,210,61369,175,74443,7249097,42,11,GCF_034932045.1-RS_2025_01_02,,100,,,0,0,v1.2.3,structured
GCF_000012645.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,1.40E-09,nifD-local_aln_i2.1_12182023,1,1.10E-06,nifK-local_aln_i2.1_12182023,H=WP_011376102.1;D=WP_011376103.1;K=WP_011376103.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9312'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9312', 'tax_id': 74546}",Complete Genome,1,1709204,1,1709204,1709204,31,1,GCF_000012645.1-RS_2025_01_27,,100,,,0,0,v1.2.3,structured
GCF_034093315.1,1,3.80E-53,nifH-local_aln_i2.1_12182023,1,2.70E-12,nifD-local_aln_i2.1_12182023,1,4.20E-07,nifK-local_aln_i2.1_12182023,H=WP_320681577.1;D=WP_320681578.1;K=WP_320681578.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1314'}, 'organism_name': 'Prochlorococcus sp. MIT 1314', 'tax_id': 3096220}",Complete Genome,1,1704447,1,1704447,1704447,31,73,GCF_034093315.1-RS_2025_02_07,,99.96,0.22,,0,0,v1.2.3,structured
GCF_000760015.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,1.40E-09,nifD-local_aln_i2.1_12182023,1,1.10E-06,nifK-local_aln_i2.1_12182023,H=WP_011376102.1;D=WP_011376103.1;K=WP_011376103.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9311'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9311', 'tax_id': 167547}",Contig,17,189094,17,189094,1711064,31,200,GCF_000760015.1-RS_2025_05_18,,99.96,0.06,,0,0,v1.2.3,structured
GCF_000018065.1,1,3.90E-53,nifH-local_aln_i2.1_12182023,1,3.10E-10,nifD-local_aln_i2.1_12182023,1,7.00E-08,nifK-local_aln_i2.1_12182023,H=WP_002805445.1;D=WP_012007365.1;K=WP_012007365.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9215'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9215', 'tax_id': 93060}",Complete Genome,1,1738790,1,1738790,1738790,31,,GCF_000018065.1-RS_2025_05_22,,99.95,,,0,0,v1.2.3,structured
GCF_001586755.1,1,8.60E-162,nifH-local_aln_i2.1_12182023,1,3.70E-256,nifD-local_aln_i2.1_12182023,1,4.20E-248,nifK-local_aln_i2.1_12182023,H=WP_061544850.1;D=WP_061544851.1;K=WP_061544852.1,1,1,"{'infraspecific_names': {'strain': 'ITEP-A1'}, 'organism_name': 'Cylindrospermopsis raciborskii ITEP-A1', 'tax_id': 1810942}",Contig,195,91008,195,91008,3605836,40,48,GCF_001586755.1-RS_2025_03_11,,99.93,0.51,,0,0,v1.2.3,structured
GCF_002027345.1,1,1.20E-161,nifH-local_aln_i2.1_12182023,1,3.70E-256,nifD-local_aln_i2.1_12182023,1,4.20E-248,nifK-local_aln_i2.1_12182023,H=WP_071247617.1;D=WP_061544851.1;K=WP_061544852.1,1,1,"{'infraspecific_names': {'strain': 'CENA302'}, 'organism_name': 'Cylindrospermopsis raciborskii CENA302', 'tax_id': 1170768}",Contig,58,162402,58,162402,3476418,40,724,GCF_002027345.1-RS_2025_09_05,,99.93,0.11,,0,0,v1.2.4,structured
GCF_019324925.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,8.40E-11,nifD-local_aln_i2.1_12182023,1,1.10E-08,nifK-local_aln_i2.1_12182023,H=WP_209133405.1;D=WP_209133408.1;K=WP_209133408.1,1,1,"{'infraspecific_names': {'strain': 'MU1412'}, 'organism_name': 'Prochlorococcus marinus str. MU1412', 'tax_id': 2053474}",Contig,14,226007,14,226007,1714716,31,1000,GCF_019324925.1-RS_2025_09_17,,99.92,0.93,,0,0,v1.2.4,structured
GCF_017696315.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,8.40E-11,nifD-local_aln_i2.1_12182023,1,1.10E-08,nifK-local_aln_i2.1_12182023,H=WP_209133405.1;D=WP_209133408.1;K=WP_209133408.1,1,1,"{'infraspecific_names': {'strain': 'XMU1412'}, 'organism_name': 'Prochlorococcus marinus XMU1412', 'tax_id': 2716484}",Scaffold,11,268619,5,596025,1729635,31.5,200,GCF_017696315.1-RS_2025_06_10,,99.92,0.93,,0,0,v1.2.3,structured
GCF_027359525.1,1,9.70E-54,nifH-local_aln_i2.1_12182023,1,8.30E-10,nifD-local_aln_i2.1_12182023,1,6.30E-10,nifK-local_aln_i2.1_12182023,H=WP_269612474.1;D=WP_269612476.1;K=WP_269612476.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0913'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0913', 'tax_id': 1570010}",Complete Genome,1,1877877,1,1877877,1877877,35,200,GCF_027359525.1-RS_2025_03_18,,99.92,0.22,,0,0,v1.2.3,structured
GCF_027359355.1,1,1.00E-53,nifH-local_aln_i2.1_12182023,1,2.60E-08,nifD-local_aln_i2.1_12182023,1,3.80E-09,nifK-local_aln_i2.1_12182023,H=WP_269624466.1;D=WP_269624469.1;K=WP_269624469.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1214'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1214', 'tax_id': 3015000}",Complete Genome,1,1934849,1,1934849,1934849,35,200,GCF_027359355.1-RS_2025_03_18,,99.92,0.13,,0,0,v1.2.3,structured
GCF_019325015.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,6.90E-10,nifD-local_aln_i2.1_12182023,1,1.50E-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_209042298.1;K=WP_209042298.1,1,1,"{'infraspecific_names': {'strain': 'MU1404'}, 'organism_name': 'Prochlorococcus marinus str. MU1404', 'tax_id': 2053469}",Contig,8,309243,8,309243,1660223,31.5,1000,GCF_019325015.1-RS_2025_09_11,,99.91,0.29,,0,0,v1.2.4,structured
GCF_017696175.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,6.90E-10,nifD-local_aln_i2.1_12182023,1,1.50E-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_209042298.1;K=WP_209042298.1,1,1,"{'infraspecific_names': {'strain': 'XMU1404'}, 'organism_name': 'Prochlorococcus marinus XMU1404', 'tax_id': 2716479}",Contig,3,587930,3,587930,1668840,31.5,200,GCF_017696175.1-RS_2025_06_10,,99.91,0.29,,0,0,v1.2.3,structured
GCF_000760275.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS35'}, 'organism_name': 'Prochlorococcus marinus str. SS35', 'tax_id': 167553}",Contig,9,446270,9,446270,1751015,36.5,200,GCF_000760275.1-RS_2025_04_01,,99.89,0.02,,0,0,v1.2.3,structured
GCF_000015645.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,4.10E-10,nifD-local_aln_i2.1_12182023,1,1.20E-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_011818052.1;K=WP_011818052.1,1,1,"{'infraspecific_names': {'strain': 'AS9601'}, 'organism_name': 'Prochlorococcus marinus str. AS9601', 'tax_id': 146891}",Complete Genome,1,1669886,1,1669886,1669886,31.5,,GCF_000015645.1-RS_2025_05_21,,99.89,,,0,0,v1.2.3,structured
GCF_046299635.1,1,2.50E-50,nifH-local_aln_i2.1_12182023,1,2.10E-09,nifD-local_aln_i2.1_12182023,1,5.00E-06,nifK-local_aln_i2.1_12182023,H=WP_409873701.1;D=WP_409873237.1;K=WP_409873237.1,1,1,"{'infraspecific_names': {'isolate': '21I_056.bin.19'}, 'organism_name': 'Thermosynechococcus sp.', 'tax_id': 2814275}",Scaffold,88,73481,85,73481,2449453,54,12,GCF_046299635.1-RS_2024_12_27,,99.86,0.27,,0,0,v1.2.3,structured
GCF_019325045.1,1,1.70E-53,nifH-local_aln_i2.1_12182023,1,1.80E-10,nifD-local_aln_i2.1_12182023,1,8.60E-10,nifK-local_aln_i2.1_12182023,H=WP_219045851.1;D=WP_158466224.1;K=WP_158466224.1,1,1,"{'infraspecific_names': {'strain': 'XMU1408'}, 'organism_name': 'Prochlorococcus marinus str. XMU1408', 'tax_id': 2053971}",Contig,29,143471,29,143471,1834861,34,1000,GCF_019325045.1-RS_2025_09_12,,99.84,1.16,,0,0,v1.2.4,structured
GCF_051201415.1,1,1.30E-161,nifH-local_aln_i2.1_12182023,1,7.80E-256,nifD-local_aln_i2.1_12182023,1,4.90E-248,nifK-local_aln_i2.1_12182023,H=WP_057177533.1;D=WP_057177532.1;K=WP_006278576.1,1,1,"{'infraspecific_names': {'strain': 'G7'}, 'organism_name': 'Cylindrospermopsis raciborskii G7', 'tax_id': 3438228}",Complete Genome,1,4016649,1,4016649,4016649,40.5,1,GCF_051201415.1-RS_2025_07_03,,99.84,0.71,,0,0,v1.2.4,structured
GCF_012583295.1,1,1.20E-161,nifH-local_aln_i2.1_12182023,1,3.70E-256,nifD-local_aln_i2.1_12182023,1,4.20E-248,nifK-local_aln_i2.1_12182023,H=WP_071247617.1;D=WP_061544851.1;K=WP_061544852.1,1,1,"{'infraspecific_names': {'strain': 'MVCC19'}, 'organism_name': 'Cylindrospermopsis raciborskii MVCC19', 'tax_id': 940192}",Contig,155,116886,155,116886,3515201,40,12.1,GCF_012583295.1-RS_2025_06_12,,99.84,0.31,,0,0,v1.2.3,structured
GCF_027359575.1,1,1.30E-53,nifH-local_aln_i2.1_12182023,1,2.90E-09,nifD-local_aln_i2.1_12182023,1,2.70E-10,nifK-local_aln_i2.1_12182023,H=WP_269604961.1;D=WP_269604965.1;K=WP_269604965.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0917'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0917', 'tax_id': 1570014}",Complete Genome,1,1924674,1,1924674,1924674,34.5,200,GCF_027359575.1-RS_2025_03_18,,99.84,0.29,,0,0,v1.2.3,structured
GCF_000332155.1,1,2.90E-161,nifH-local_aln_i2.1_12182023,1,7.60E-252,nifD-local_aln_i2.1_12182023,1,1.40E-244,nifK-local_aln_i2.1_12182023,H=WP_007356926.1;D=WP_007356927.1;K=WP_007356928.1,1,1,"{'infraspecific_names': {'strain': 'PCC 6407'}, 'organism_name': 'Kamptonema formosum PCC 6407', 'tax_id': 402777}",Scaffold,118,238398,12,2506686,6894060,43.5,30,GCF_000332155.1-RS_2024_12_09,,99.84,,,0,0,v1.2.4,structured
GCF_034092375.1,1,1.10E-54,nifH-local_aln_i2.1_12182023,1,6.70E-07,nifD-local_aln_i2.1_12182023,1,2.00E-06,nifK-local_aln_i2.1_12182023,H=WP_320676484.1;D=WP_320676485.1;K=WP_320676485.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1300'}, 'organism_name': 'Prochlorococcus sp. MIT 1300', 'tax_id': 3096218}",Complete Genome,1,1855146,1,1855146,1855146,41.5,186,GCF_034092375.1-RS_2025_02_06,,99.83,0.5,,0,0,v1.2.3,structured
GCF_027359395.1,1,1.30E-52,nifH-local_aln_i2.1_12182023,1,6.90E-09,nifD-local_aln_i2.1_12182023,1,2.00E-09,nifK-local_aln_i2.1_12182023,H=WP_269609922.1;D=WP_269609925.1;K=WP_269609925.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1013'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1013', 'tax_id': 3014999}",Complete Genome,1,2046712,1,2046712,2046712,34.5,200,GCF_027359395.1-RS_2025_03_18,,99.83,0.31,,0,0,v1.2.3,structured
GCF_019324985.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,4.10E-10,nifD-local_aln_i2.1_12182023,1,1.90E-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_209127758.1;K=WP_209127758.1,1,1,"{'infraspecific_names': {'strain': 'MU1411'}, 'organism_name': 'Prochlorococcus marinus str. MU1411', 'tax_id': 2053473}",Contig,12,308149,12,308149,1681444,31,1000,GCF_019324985.1-RS_2025_08_12,,99.83,0.09,,0,0,v1.2.4,structured
GCF_047304605.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS35'}, 'organism_name': 'Prochlorococcus marinus str. SS35', 'tax_id': 167553}",Complete Genome,1,1751899,1,1751899,1751899,36.5,1,GCF_047304605.1-RS_2025_01_31,,99.83,0.02,,0,0,v1.2.3,structured
GCF_047302905.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'LG'}, 'organism_name': 'Prochlorococcus marinus str. LG', 'tax_id': 167556}",Complete Genome,1,1751940,1,1751940,1751940,36.5,1,GCF_047302905.1-RS_2025_01_29,,99.83,0.02,,0,0,v1.2.3,structured
GCF_047302765.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS2'}, 'organism_name': 'Prochlorococcus marinus str. SS2', 'tax_id': 167552}",Complete Genome,1,1751709,1,1751709,1751709,36.5,1,GCF_047302765.1-RS_2025_01_29,,99.83,0.02,,0,0,v1.2.3,structured
GCF_000760155.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'LG'}, 'organism_name': 'Prochlorococcus marinus str. LG', 'tax_id': 167556}",Contig,14,326623,14,326623,1754063,36.5,200,GCF_000760155.1-RS_2025_04_01,,99.83,0.02,,0,0,v1.2.3,structured
GCF_000007925.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'CCMP1375; SS120'}, 'organism_name': 'Prochlorococcus marinus subsp. marinus str. CCMP1375', 'tax_id': 167539}",Complete Genome,1,1751080,1,1751080,1751080,36.5,1,GCF_000007925.1-RS_2025_04_10,,99.83,0.02,,0,0,v1.2.3,structured
GCF_017696085.1,1,7.10E-53,nifH-local_aln_i2.1_12182023,1,1.70E-10,nifD-local_aln_i2.1_12182023,1,3.50E-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_209089040.1;K=WP_209089040.1,1,1,"{'infraspecific_names': {'strain': 'XMU1410'}, 'organism_name': 'Prochlorococcus marinus XMU1410', 'tax_id': 2716482}",Scaffold,5,903854,4,1009863,1631014,31.5,200,GCF_017696085.1-RS_2025_06_10,,99.82,0.31,,0,0,v1.2.3,structured
GCF_000760355.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS51'}, 'organism_name': 'Prochlorococcus marinus str. SS51', 'tax_id': 167554}",Contig,12,232789,12,232789,1746977,36.5,200,GCF_000760355.1-RS_2025_03_31,,99.82,0.02,,0,0,v1.2.3,structured
GCF_963890305.1,1,8.40E-163,nifH-local_aln_i2.1_12182023,1,1.90E-257,nifD-local_aln_i2.1_12182023,1,7.60E-255,nifK-local_aln_i2.1_12182023,H=WP_193883645.1;D=WP_193883643.1;K=WP_193883641.1,1,1,"{'infraspecific_names': {'isolate': 'ena-yuan-GCF_015206815.1'}, 'organism_name': 'Fortiea sp. LEGE XX443', 'tax_id': 1828611}",Contig,167,63787,167,63787,6082847,40.5,95,GCF_963890305.1-RS_2025_09_13,,99.8,0.77,,0,0,v1.2.4,structured
GCF_015206815.1,1,8.40E-163,nifH-local_aln_i2.1_12182023,1,1.90E-257,nifD-local_aln_i2.1_12182023,1,7.60E-255,nifK-local_aln_i2.1_12182023,H=WP_193883645.1;D=WP_193883643.1;K=WP_193883641.1,1,1,"{'infraspecific_names': {'strain': 'LEGE XX443'}, 'organism_name': 'Fortiea sp. LEGE XX443', 'tax_id': 1828611}",Contig,167,63787,167,63787,6082847,40.5,30,GCF_015206815.1-RS_2024_08_17,,99.8,0.77,,0,0,v1.2.3,structured
GCF_014698045.1,1,1.40E-163,nifH-local_aln_i2.1_12182023,1,2.50E-258,nifD-local_aln_i2.1_12182023,1,4.30E-256,nifK-local_aln_i2.1_12182023,H=WP_190591593.1;D=WP_190589863.1;K=WP_190871881.1,1,1,"{'infraspecific_names': {'strain': 'FACHB-615'}, 'organism_name': 'Aulosira sp. FACHB-615', 'tax_id': 2692777}",Contig,83,275562,83,275562,8338463,40.5,50,GCF_014698045.1-RS_2024_11_06,,99.8,0.51,,0,0,v1.2.3,structured
GCF_015708265.1,1,8.60E-162,nifH-local_aln_i2.1_12182023,1,3.70E-256,nifD-local_aln_i2.1_12182023,1,1.80E-248,nifK-local_aln_i2.1_12182023,H=WP_061544850.1;D=WP_061544851.1;K=WP_168729842.1,1,1,"{'infraspecific_names': {'isolate': 'KL1'}, 'organism_name': 'Cylindrospermopsis raciborskii KL1', 'tax_id': 2787621}",Scaffold,125,89058,100,164738,3657391,40,264,GCF_015708265.1-RS_2024_08_12,,99.8,0.33,,0,0,v1.2.3,structured
GCF_014489415.1,1,7.00E-162,nifH-local_aln_i2.1_12182023,1,1.80E-256,nifD-local_aln_i2.1_12182023,1,6.90E-249,nifK-local_aln_i2.1_12182023,H=WP_187705049.1;D=WP_187705050.1;K=WP_187705051.1,1,1,"{'infraspecific_names': {'strain': 'GIHE-G1'}, 'organism_name': 'Cylindrospermopsis curvispora GIHE-G1', 'tax_id': 2666332}",Complete Genome,2,3910736,2,3910736,4057210,40,100,GCF_014489415.1-RS_2024_12_11,,99.8,0.16,,0,0,v1.2.3,structured
GCF_019325065.1,1,6.80E-54,nifH-local_aln_i2.1_12182023,1,5.80E-10,nifD-local_aln_i2.1_12182023,1,8.00E-10,nifK-local_aln_i2.1_12182023,H=WP_110860231.1;D=WP_110860233.1;K=WP_110860233.1,1,1,"{'infraspecific_names': {'strain': 'MU1403'}, 'organism_name': 'Prochlorococcus marinus str. MU1403', 'tax_id': 2053468}",Contig,30,204586,30,204586,1778780,35,1000,GCF_019325065.1-RS_2025_09_11,,99.8,0.06,,0,0,v1.2.4,structured
GCF_000012465.1,1,8.80E-54,nifH-local_aln_i2.1_12182023,1,6.70E-09,nifD-local_aln_i2.1_12182023,1,1.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011294504.1;D=WP_011294506.1;K=WP_011294506.1,1,1,"{'infraspecific_names': {'strain': 'NATL2A'}, 'organism_name': 'Prochlorococcus marinus str. NATL2A', 'tax_id': 59920}",Complete Genome,1,1842899,1,1842899,1842899,35,1,GCF_000012465.1-RS_2025_05_23,,99.8,0.06,,0,0,v1.2.3,structured
GCF_000760375.1,1,4.50E-54,nifH-local_aln_i2.1_12182023,1,3.40E-06,nifD-local_aln_i2.1_12182023,1,3.10E-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS52'}, 'organism_name': 'Prochlorococcus sp. SS52', 'tax_id': 1499501}",Contig,22,124224,22,124224,1754053,36.5,200,GCF_000760375.1-RS_2025_09_30,,99.78,0.52,,0,0,v1.2.4,structured
