assembly_accession,nifH_present,nifH_best_evalue,nifH_best_ref,nifD_present,nifD_best_evalue,nifD_best_ref,nifK_present,nifK_best_evalue,nifK_best_ref,best_hit_ids,download_ok,nifHDK_core_call,organism_name,assembly_level,number_of_contigs,contig_n50,number_of_scaffolds,scaffold_n50,total_ungapped_length,gc_percent,coverage,annotation_name,annotation_date,checkm_completeness,checkm_contamination,genome_notes,derived_from_metagenome,annotation_fails_MAG_check,checkm_version,checkm_source,organism_full,genus,is_diazotroph
GCF_000015645.1,1.0,7.099999999999999e-53,nifH-local_aln_i2.1_12182023,1.0,4.1e-10,nifD-local_aln_i2.1_12182023,1.0,1.2e-07,nifK-local_aln_i2.1_12182023,H=WP_011818051.1;D=WP_011818052.1;K=WP_011818052.1,1,1,"{'infraspecific_names': {'strain': 'AS9601'}, 'organism_name': 'Prochlorococcus marinus str. AS9601', 'tax_id': 146891}",Complete Genome,1,1669886,1,1669886,1669886,31.5,,GCF_000015645.1-RS_2025_05_21,,99.89,,,0,0,v1.2.3,structured,Prochlorococcus marinus str. AS9601,Prochlorococcus,False
GCF_051201415.1,1.0,1.3000000000000002e-161,nifH-local_aln_i2.1_12182023,1.0,7.8e-256,nifD-local_aln_i2.1_12182023,1.0,4.9000000000000005e-248,nifK-local_aln_i2.1_12182023,H=WP_057177533.1;D=WP_057177532.1;K=WP_006278576.1,1,1,"{'infraspecific_names': {'strain': 'G7'}, 'organism_name': 'Cylindrospermopsis raciborskii G7', 'tax_id': 3438228}",Complete Genome,1,4016649,1,4016649,4016649,40.5,1.0,GCF_051201415.1-RS_2025_07_03,,99.84,0.71,,0,0,v1.2.4,structured,Cylindrospermopsis raciborskii G7,Cylindrospermopsis,True
GCF_027359575.1,1.0,1.3e-53,nifH-local_aln_i2.1_12182023,1.0,2.9e-09,nifD-local_aln_i2.1_12182023,1.0,2.7e-10,nifK-local_aln_i2.1_12182023,H=WP_269604961.1;D=WP_269604965.1;K=WP_269604965.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0917'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0917', 'tax_id': 1570014}",Complete Genome,1,1924674,1,1924674,1924674,34.5,200.0,GCF_027359575.1-RS_2025_03_18,,99.84,0.29,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 0917,Prochlorococcus,False
GCF_034092375.1,1.0,1.0999999999999997e-54,nifH-local_aln_i2.1_12182023,1.0,6.7e-07,nifD-local_aln_i2.1_12182023,1.0,2e-06,nifK-local_aln_i2.1_12182023,H=WP_320676484.1;D=WP_320676485.1;K=WP_320676485.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1300'}, 'organism_name': 'Prochlorococcus sp. MIT 1300', 'tax_id': 3096218}",Complete Genome,1,1855146,1,1855146,1855146,41.5,186.0,GCF_034092375.1-RS_2025_02_06,,99.83,0.5,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 1300,Prochlorococcus,False
GCF_027359395.1,1.0,1.3e-52,nifH-local_aln_i2.1_12182023,1.0,6.9e-09,nifD-local_aln_i2.1_12182023,1.0,2e-09,nifK-local_aln_i2.1_12182023,H=WP_269609922.1;D=WP_269609925.1;K=WP_269609925.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1013'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1013', 'tax_id': 3014999}",Complete Genome,1,2046712,1,2046712,2046712,34.5,200.0,GCF_027359395.1-RS_2025_03_18,,99.83,0.31,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 1013,Prochlorococcus,False
GCF_047304605.1,1.0,4.5e-54,nifH-local_aln_i2.1_12182023,1.0,3.4e-06,nifD-local_aln_i2.1_12182023,1.0,3.1e-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS35'}, 'organism_name': 'Prochlorococcus marinus str. SS35', 'tax_id': 167553}",Complete Genome,1,1751899,1,1751899,1751899,36.5,1.0,GCF_047304605.1-RS_2025_01_31,,99.83,0.02,,0,0,v1.2.3,structured,Prochlorococcus marinus str. SS35,Prochlorococcus,False
GCF_047302905.1,1.0,4.5e-54,nifH-local_aln_i2.1_12182023,1.0,3.4e-06,nifD-local_aln_i2.1_12182023,1.0,3.1e-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'LG'}, 'organism_name': 'Prochlorococcus marinus str. LG', 'tax_id': 167556}",Complete Genome,1,1751940,1,1751940,1751940,36.5,1.0,GCF_047302905.1-RS_2025_01_29,,99.83,0.02,,0,0,v1.2.3,structured,Prochlorococcus marinus str. LG,Prochlorococcus,False
GCF_047302765.1,1.0,4.5e-54,nifH-local_aln_i2.1_12182023,1.0,3.4e-06,nifD-local_aln_i2.1_12182023,1.0,3.1e-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS2'}, 'organism_name': 'Prochlorococcus marinus str. SS2', 'tax_id': 167552}",Complete Genome,1,1751709,1,1751709,1751709,36.5,1.0,GCF_047302765.1-RS_2025_01_29,,99.83,0.02,,0,0,v1.2.3,structured,Prochlorococcus marinus str. SS2,Prochlorococcus,False
GCF_000007925.1,1.0,4.5e-54,nifH-local_aln_i2.1_12182023,1.0,3.4e-06,nifD-local_aln_i2.1_12182023,1.0,3.1e-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'CCMP1375; SS120'}, 'organism_name': 'Prochlorococcus marinus subsp. marinus str. CCMP1375', 'tax_id': 167539}",Complete Genome,1,1751080,1,1751080,1751080,36.5,1.0,GCF_000007925.1-RS_2025_04_10,,99.83,0.02,,0,0,v1.2.3,structured,Prochlorococcus marinus subsp. marinus str. CCMP1375,Prochlorococcus,False
GCF_014489415.1,1.0,7.000000000000001e-162,nifH-local_aln_i2.1_12182023,1.0,1.7999999999999998e-256,nifD-local_aln_i2.1_12182023,1.0,6.899999999999998e-249,nifK-local_aln_i2.1_12182023,H=WP_187705049.1;D=WP_187705050.1;K=WP_187705051.1,1,1,"{'infraspecific_names': {'strain': 'GIHE-G1'}, 'organism_name': 'Cylindrospermopsis curvispora GIHE-G1', 'tax_id': 2666332}",Complete Genome,2,3910736,2,3910736,4057210,40.0,100.0,GCF_014489415.1-RS_2024_12_11,,99.8,0.16,,0,0,v1.2.3,structured,Cylindrospermopsis curvispora GIHE-G1,Cylindrospermopsis,True
GCF_000012465.1,1.0,8.799999999999999e-54,nifH-local_aln_i2.1_12182023,1.0,6.7e-09,nifD-local_aln_i2.1_12182023,1.0,1.1e-09,nifK-local_aln_i2.1_12182023,H=WP_011294504.1;D=WP_011294506.1;K=WP_011294506.1,1,1,"{'infraspecific_names': {'strain': 'NATL2A'}, 'organism_name': 'Prochlorococcus marinus str. NATL2A', 'tax_id': 59920}",Complete Genome,1,1842899,1,1842899,1842899,35.0,1.0,GCF_000012465.1-RS_2025_05_23,,99.8,0.06,,0,0,v1.2.3,structured,Prochlorococcus marinus str. NATL2A,Prochlorococcus,False
GCF_047304535.1,1.0,3.8999999999999997e-53,nifH-local_aln_i2.1_12182023,1.0,2.8e-09,nifD-local_aln_i2.1_12182023,1.0,9.1e-07,nifK-local_aln_i2.1_12182023,H=WP_032517757.1;D=WP_032517756.1;K=WP_032517756.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9322'}, 'organism_name': 'Prochlorococcus sp. MIT 9322', 'tax_id': 3082529}",Complete Genome,1,1659516,1,1659516,1659516,31.0,1.0,GCF_047304535.1-RS_2025_01_31,,99.76,0.28,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 9322,Prochlorococcus,False
GCF_047304525.1,1.0,3.8999999999999997e-53,nifH-local_aln_i2.1_12182023,1.0,2.8e-09,nifD-local_aln_i2.1_12182023,1.0,9.1e-07,nifK-local_aln_i2.1_12182023,H=WP_032517757.1;D=WP_032517756.1;K=WP_032517756.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9401'}, 'organism_name': 'Prochlorococcus sp. MIT 9401', 'tax_id': 3082530}",Complete Genome,1,1649445,1,1649445,1649445,31.0,1.0,GCF_047304525.1-RS_2025_01_31,,99.76,0.28,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 9401,Prochlorococcus,False
GCF_047302975.1,1.0,4.5e-54,nifH-local_aln_i2.1_12182023,1.0,3.4e-06,nifD-local_aln_i2.1_12182023,1.0,3.1e-09,nifK-local_aln_i2.1_12182023,H=WP_011124698.1;D=WP_011124699.1;K=WP_011124699.1,1,1,"{'infraspecific_names': {'strain': 'SS52'}, 'organism_name': 'Prochlorococcus sp. SS52', 'tax_id': 1499501}",Complete Genome,1,1752106,1,1752106,1752106,36.5,1.0,GCF_047302975.1-RS_2025_01_29,,99.75,0.1,,0,0,v1.2.3,structured,Prochlorococcus sp. SS52,Prochlorococcus,False
GCF_001548115.1,1.0,1.0000000000000001e-49,nifH-local_aln_i2.1_12182023,1.0,1.5e-08,nifD-local_aln_i2.1_12182023,1.0,7.1e-07,nifK-local_aln_i2.1_12182023,H=WP_066116355.1;D=WP_066117381.1;K=WP_066117381.1,1,1,"{'infraspecific_names': {'strain': 'NIES-3709'}, 'organism_name': 'Geminocystis sp. NIES-3709', 'tax_id': 1617448}",Complete Genome,12,4150181,12,4150181,4426059,33.5,81.0,GCF_001548115.1-RS_2024_11_06,,99.74,0.35,,0,0,v1.2.3,structured,Geminocystis sp. NIES-3709,Geminocystis,False
GCF_018139025.1,1.0,1.3000000000000002e-161,nifH-local_aln_i2.1_12182023,1.0,7.8e-256,nifD-local_aln_i2.1_12182023,1.0,4.9000000000000005e-248,nifK-local_aln_i2.1_12182023,H=WP_057177533.1;D=WP_057177532.1;K=WP_006278576.1,1,1,"{'infraspecific_names': {'strain': 'N8'}, 'organism_name': 'Cylindrospermopsis raciborskii N8', 'tax_id': 1524929}",Complete Genome,1,3857174,1,3857174,3857174,40.0,121.0,GCF_018139025.1-RS_2025_04_10,,99.74,0.31,,0,0,v1.2.3,structured,Cylindrospermopsis raciborskii N8,Cylindrospermopsis,True
GCF_050563455.1,1.0,5.999999999999999e-154,nifH-local_aln_i2.1_12182023,1.0,2.3e-254,nifD-local_aln_i2.1_12182023,1.0,2.7e-238,nifK-local_aln_i2.1_12182023,H=WP_007305800.1;D=WP_007305801.1;K=WP_007305802.1,1,1,"{'infraspecific_names': {'strain': 'WH 8501'}, 'organism_name': 'Crocosphaera watsonii WH 8501', 'tax_id': 165597}",Complete Genome,4,6132292,4,6132292,6283531,37.0,1.0,GCF_050563455.1-RS_2025_05_26,,99.74,,,0,0,v1.2.3,structured,Crocosphaera watsonii WH 8501,Crocosphaera,True
GCF_000021805.1,1.0,1.1999999999999998e-153,nifH-local_aln_i2.1_12182023,1.0,5.8e-256,nifD-local_aln_i2.1_12182023,1.0,2.7999999999999998e-244,nifK-local_aln_i2.1_12182023,H=WP_012595104.1;D=WP_012595105.1;K=WP_012595106.1,1,1,"{'infraspecific_names': {'strain': 'PCC 8801'}, 'organism_name': 'Rippkaea orientalis PCC 8801', 'tax_id': 41431}",Complete Genome,4,4679413,4,4679413,4787694,40.0,,GCF_000021805.1-RS_2025_04_02,,99.74,,,0,0,v1.2.3,structured,Rippkaea orientalis PCC 8801,Rippkaea,True
GCF_031583475.1,1.0,6.3e-51,nifH-local_aln_i2.1_12182023,1.0,4.6e-08,nifD-local_aln_i2.1_12182023,1.0,2.9e-07,nifK-local_aln_i2.1_12182023,H=WP_149819367.1;D=WP_302677784.1;K=WP_302677784.1,1,1,"{'infraspecific_names': {'strain': 'JY1331'}, 'organism_name': 'Thermosynechococcus sp. JY1331', 'tax_id': 3074098}",Complete Genome,1,2677418,1,2677418,2677418,53.5,793.8,GCF_031583475.1-RS_2024_11_06,,99.73,,,0,0,v1.2.3,structured,Thermosynechococcus sp. JY1331,Thermosynechococcus,False
GCF_031583225.1,1.0,6.3e-51,nifH-local_aln_i2.1_12182023,1.0,5.3e-09,nifD-local_aln_i2.1_12182023,1.0,8.9e-07,nifK-local_aln_i2.1_12182023,H=WP_149819367.1;D=WP_302679145.1;K=WP_302679145.1,1,1,"{'infraspecific_names': {'strain': 'PP555'}, 'organism_name': 'Thermosynechococcus sp. PP555', 'tax_id': 3074085}",Complete Genome,1,2699735,1,2699735,2699735,53.5,572.6,GCF_031583225.1-RS_2024_11_06,,99.73,,,0,0,v1.2.3,structured,Thermosynechococcus sp. PP555,Thermosynechococcus,False
GCF_031583205.1,1.0,6.3e-51,nifH-local_aln_i2.1_12182023,1.0,5.3e-09,nifD-local_aln_i2.1_12182023,1.0,8.9e-07,nifK-local_aln_i2.1_12182023,H=WP_149819367.1;D=WP_302679145.1;K=WP_302679145.1,1,1,"{'infraspecific_names': {'strain': 'PP551'}, 'organism_name': 'Thermosynechococcus sp. PP551', 'tax_id': 3074084}",Complete Genome,1,2699585,1,2699585,2699585,53.5,523.7,GCF_031583205.1-RS_2024_11_06,,99.73,,,0,0,v1.2.3,structured,Thermosynechococcus sp. PP551,Thermosynechococcus,False
GCF_030518735.1,1.0,6.3e-51,nifH-local_aln_i2.1_12182023,1.0,4.6e-08,nifD-local_aln_i2.1_12182023,1.0,2.9e-07,nifK-local_aln_i2.1_12182023,H=WP_149819367.1;D=WP_302677784.1;K=WP_302677784.1,1,1,"{'infraspecific_names': {'strain': 'JY1339'}, 'organism_name': 'Thermosynechococcus sp. JY1339', 'tax_id': 3058431}",Complete Genome,1,2677487,1,2677487,2677487,53.5,489.8,GCF_030518735.1-RS_2024_11_06,,99.73,,,0,0,v1.2.3,structured,Thermosynechococcus sp. JY1339,Thermosynechococcus,False
GCF_030518695.1,1.0,6.3e-51,nifH-local_aln_i2.1_12182023,1.0,5.3e-09,nifD-local_aln_i2.1_12182023,1.0,8.9e-07,nifK-local_aln_i2.1_12182023,H=WP_149819367.1;D=WP_302679145.1;K=WP_302679145.1,1,1,"{'infraspecific_names': {'strain': 'PP45'}, 'organism_name': 'Thermosynechococcus sp. PP45', 'tax_id': 3058429}",Complete Genome,2,2699981,2,2699981,2702314,53.5,490.2,GCF_030518695.1-RS_2024_11_06,,99.73,,,0,0,v1.2.3,structured,Thermosynechococcus sp. PP45,Thermosynechococcus,False
GCF_047302745.1,1.0,1.3e-52,nifH-local_aln_i2.1_12182023,1.0,5.3e-09,nifD-local_aln_i2.1_12182023,1.0,1.5e-09,nifK-local_aln_i2.1_12182023,H=WP_413390057.1;D=WP_413390059.1;K=WP_413390059.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1012'}, 'organism_name': 'Prochlorococcus marinus str. MIT 1012', 'tax_id': 1570015}",Complete Genome,1,1897577,1,1897577,1897577,35.0,1.0,GCF_047302745.1-RS_2025_01_29,,99.71,0.29,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 1012,Prochlorococcus,False
GCF_000017845.1,1.0,5.4e-156,nifH-local_aln_i2.1_12182023,1.0,1.4999999999999999e-254,nifD-local_aln_i2.1_12182023,1.0,1.1e-236,nifK-local_aln_i2.1_12182023,H=WP_009546639.1;D=WP_009546640.1;K=WP_009546641.1,1,1,"{'infraspecific_names': {'strain': 'ATCC 51142'}, 'organism_name': 'Crocosphaera subtropica ATCC 51142', 'tax_id': 43989}",Complete Genome,6,4934271,6,4934271,5460377,38.0,,GCF_000017845.1-RS_2025_04_15,,99.71,,,0,0,v1.2.3,structured,Crocosphaera subtropica ATCC 51142,Crocosphaera,True
GCF_027359375.1,1.0,1.0999999999999999e-53,nifH-local_aln_i2.1_12182023,1.0,2.2e-06,nifD-local_aln_i2.1_12182023,1.0,1.5e-07,nifK-local_aln_i2.1_12182023,H=WP_036901162.1;D=WP_036901161.1;K=WP_036901161.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0919'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0919', 'tax_id': 3014998}",Complete Genome,1,1716770,1,1716770,1716770,37.0,200.0,GCF_027359375.1-RS_2025_03_18,,99.7,0.1,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 0919,Prochlorococcus,False
GCF_047305235.1,1.0,1.3e-52,nifH-local_aln_i2.1_12182023,1.0,5.5e-09,nifD-local_aln_i2.1_12182023,1.0,1.7e-09,nifK-local_aln_i2.1_12182023,H=WP_413390057.1;D=WP_413682747.1;K=WP_413682747.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1011'}, 'organism_name': 'Prochlorococcus sp. MIT 1011', 'tax_id': 3082520}",Complete Genome,1,1937723,1,1937723,1937723,34.5,1.0,GCF_047305235.1-RS_2025_01_31,,99.64,0.66,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 1011,Prochlorococcus,False
GCF_047305115.1,1.0,4.7e-53,nifH-local_aln_i2.1_12182023,1.0,1.1e-08,nifD-local_aln_i2.1_12182023,1.0,3.3e-07,nifK-local_aln_i2.1_12182023,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1,1,1,"{'infraspecific_names': {'strain': 'MED1'}, 'organism_name': 'Prochlorococcus sp. MED1', 'tax_id': 3082519}",Complete Genome,1,1661798,1,1661798,1661798,31.0,1.0,GCF_047305115.1-RS_2025_01_31,,99.64,0.42,,0,0,v1.2.3,structured,Prochlorococcus sp. MED1,Prochlorococcus,False
GCF_047304685.1,1.0,7.099999999999999e-53,nifH-local_aln_i2.1_12182023,1.0,1.4e-09,nifD-local_aln_i2.1_12182023,1.0,1.1e-06,nifK-local_aln_i2.1_12182023,H=WP_011376102.1;D=WP_011376103.1;K=WP_011376103.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9311'}, 'organism_name': 'Prochlorococcus sp. MIT 9311', 'tax_id': 3082528}",Complete Genome,1,1709271,1,1709271,1709271,31.0,1.0,GCF_047304685.1-RS_2025_01_31,,99.64,,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 9311,Prochlorococcus,False
GCF_047305155.1,1.0,6.8e-54,nifH-local_aln_i2.1_12182023,1.0,2.1e-10,nifD-local_aln_i2.1_12182023,1.0,1.5e-08,nifK-local_aln_i2.1_12182023,H=WP_413677514.1;D=WP_413677516.1;K=WP_413677516.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0916'}, 'organism_name': 'Prochlorococcus sp. MIT 0916', 'tax_id': 3082521}",Complete Genome,1,1944257,1,1944257,1944257,34.5,1.0,GCF_047305155.1-RS_2025_01_31,,99.62,0.74,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 0916,Prochlorococcus,False
GCF_012516395.1,1.0,9.8e-52,nifH-local_aln_i2.1_12182023,1.0,4.2000000000000005e-236,nifD-local_aln_i2.1_12182023,1.0,5.3000000000000005e-248,nifK-local_aln_i2.1_12182023,H=WP_015079916.1;D=WP_051155216.1;K=WP_148762493.1,1,1,"{'infraspecific_names': {'strain': 'CCAP 1403/13f'}, 'organism_name': 'Dolichospermum flos-aquae CCAP 1403/13F', 'tax_id': 315271}",Complete Genome,2,5151752,2,5151752,5220684,38.0,114.08,GCF_012516395.1-RS_2025_08_25,,99.61,0.31,,0,0,v1.2.4,structured,Dolichospermum flos-aquae CCAP 1403/13F,Dolichospermum,True
GCF_038050375.1,1.0,2.9e-51,nifH-local_aln_i2.1_12182023,1.0,2.8000000000000002e-98,nifD-local_aln_i2.1_12182023,1.0,2.1e-79,nifK-local_aln_i2.1_12182023,H=WP_353931670.1;D=WP_353930915.1;K=WP_353930916.1,1,1,"{'infraspecific_names': {'strain': 'TIOX110'}, 'organism_name': 'Okeanomitos corallinicola TIOX110', 'tax_id': 3133117}",Complete Genome,2,5144906,2,5144906,5323117,37.0,1.0,GCF_038050375.1-RS_2024_07_05,,99.61,0.18,,0,0,v1.2.4,structured,Okeanomitos corallinicola TIOX110,Okeanomitos,True
GCF_047302725.1,1.0,4.7e-53,nifH-local_aln_i2.1_12182023,1.0,1.1e-08,nifD-local_aln_i2.1_12182023,1.0,3.3e-07,nifK-local_aln_i2.1_12182023,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1,1,1,"{'infraspecific_names': {'strain': 'Dvax-bc1017'}, 'organism_name': 'Prochlorococcus sp. Dvax-bc1017', 'tax_id': 3093726}",Complete Genome,1,1657989,1,1657989,1657989,31.0,1.0,GCF_047302725.1-RS_2025_01_29,,99.58,,,0,0,v1.2.3,structured,Prochlorococcus sp. Dvax-bc1017,Prochlorococcus,False
